Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_EIA-3528-21_Kemet-B,1,220uF Tant,C122649
"C11, C7",C_0402,2,10uF 6.3V,C194427
"C13, C2, C4, C6, C8",C_0402,5,100nF,
C16,C_0805,1,100uF,C141660
C3,C_0603,1,22uF,
C9,C_0402,1,1uF,
"D1, D5",SMD1010,2,XL-1010RGBC-WS2812B,C5349953
"D2, D4",DFN1006-2L,2,~,C5137770
D3,D_SOD-123,1,MBR0530,
J1,1.25T-2PWT (Molex 532610271),1,Battery,C177225
J4,TF_PUSH,1,TF_PUSH,C393941
J5,USB-C-Socket-H,1,USB-C-Socket-H,C709357
Q2,SOT-23,1,CJ2301,C5224170
"R1, R10, R11, R12, R13, R14, R2, R8, R9",R_0402,9,10K,
"R5, R6",R_0402,2,5K1,
SW1,TS-1092S-B3D2-G,1,SW_Push,
U1,ICS43434_MEMS_Mic,1,R,C5656610
U2,ICS43434_MEMS_Mic,1,L,C5656610
U3,SOT-23-5,1,TP4054,C668215
U4,SOT-23-5,1,ME6211C33M5G-N,C82942
U6,ESP32-S3-MINI-1,1,ESP32-S3-MINI-1,C3013941
